13:50:35.524360 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.524995 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525108 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525211 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525339 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525396 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525536 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 86, ParentProc [ptcpdump.345626]
13:50:35.525652 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 86, ParentProc [ptcpdump.345626]
13:50:35.525721 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.525804 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.558547 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 186, ParentProc [ptcpdump.345626]
13:50:35.558929 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 186, ParentProc [ptcpdump.345626]
13:50:35.559171 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.559277 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.559705 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.559765 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.559522 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 469, ParentProc [ptcpdump.345626]
13:50:35.559608 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 469, ParentProc [ptcpdump.345626]
13:50:35.559705 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.559768 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.560427 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.560491 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.560549 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
13:50:35.560602 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: tcp 0, ParentProc [ptcpdump.345626]
