1730555435.524360 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [S], seq 217911223, win 65495, options [mss 65495,sackOK,TS val 2363239505 ecr 0,nop,wscale 7], length 0, ParentProc [ptcpdump.345626]
1730555435.524995 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [S], seq 217911223, win 65495, options [mss 65495,sackOK,TS val 2363239505 ecr 0,nop,wscale 7], length 0, ParentProc [ptcpdump.345626]
1730555435.525108 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [S.], seq 3879633683, ack 217911224, win 65483, options [mss 65495,sackOK,TS val 2363239505 ecr 2363239505,nop,wscale 7], length 0, ParentProc [ptcpdump.345626]
1730555435.525211 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [S.], seq 3879633683, ack 217911224, win 65483, options [mss 65495,sackOK,TS val 2363239505 ecr 2363239505,nop,wscale 7], length 0, ParentProc [ptcpdump.345626]
1730555435.525339 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911224, ack 3879633684, win 512, options [nop,nop,TS val 2363239505 ecr 2363239505], length 0, ParentProc [ptcpdump.345626]
1730555435.525396 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911224, ack 3879633684, win 512, options [nop,nop,TS val 2363239505 ecr 2363239505], length 0, ParentProc [ptcpdump.345626]
1730555435.525536 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [P.], seq 217911224:217911310, ack 3879633684, win 512, options [nop,nop,TS val 2363239505 ecr 2363239505], length 86: HTTP: GET /notfound HTTP/1.1, ParentProc [ptcpdump.345626]
1730555435.525652 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [P.], seq 217911224:217911310, ack 3879633684, win 512, options [nop,nop,TS val 2363239505 ecr 2363239505], length 86: HTTP: GET /notfound HTTP/1.1, ParentProc [ptcpdump.345626]
1730555435.525721 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [.], seq 3879633684, ack 217911310, win 511, options [nop,nop,TS val 2363239505 ecr 2363239505], length 0, ParentProc [ptcpdump.345626]
1730555435.525804 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [.], seq 3879633684, ack 217911310, win 511, options [nop,nop,TS val 2363239505 ecr 2363239505], length 0, ParentProc [ptcpdump.345626]
1730555435.558547 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [P.], seq 3879633684:3879633870, ack 217911310, win 512, options [nop,nop,TS val 2363239522 ecr 2363239505], length 186: HTTP: HTTP/1.0 404 File not found, ParentProc [ptcpdump.345626]
1730555435.558929 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [P.], seq 3879633684:3879633870, ack 217911310, win 512, options [nop,nop,TS val 2363239522 ecr 2363239505], length 186: HTTP: HTTP/1.0 404 File not found, ParentProc [ptcpdump.345626]
1730555435.559171 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911310, ack 3879633870, win 511, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.559277 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911310, ack 3879633870, win 511, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.559705 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [F.], seq 217911310, ack 3879634339, win 512, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.559765 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [F.], seq 217911310, ack 3879634339, win 512, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.559522 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [P.], seq 3879633870:3879634339, ack 217911310, win 512, options [nop,nop,TS val 2363239522 ecr 2363239522], length 469, ParentProc [ptcpdump.345626]
1730555435.559608 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [P.], seq 3879633870:3879634339, ack 217911310, win 512, options [nop,nop,TS val 2363239522 ecr 2363239522], length 469, ParentProc [ptcpdump.345626]
1730555435.559705 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911310, ack 3879634339, win 508, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.559768 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911310, ack 3879634339, win 508, options [nop,nop,TS val 2363239522 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.560427 lo curl.345650 Out IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [F.], seq 3879634339, ack 217911311, win 512, options [nop,nop,TS val 2363239523 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.560491 lo curl.345650 In IP 127.0.0.1.8000 > 127.0.0.1.58694: Flags [F.], seq 3879634339, ack 217911311, win 512, options [nop,nop,TS val 2363239523 ecr 2363239522], length 0, ParentProc [ptcpdump.345626]
1730555435.560549 lo curl.345650 Out IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911311, ack 3879634340, win 512, options [nop,nop,TS val 2363239523 ecr 2363239523], length 0, ParentProc [ptcpdump.345626]
1730555435.560602 lo curl.345650 In IP 127.0.0.1.58694 > 127.0.0.1.8000: Flags [.], seq 217911311, ack 3879634340, win 512, options [nop,nop,TS val 2363239523 ecr 2363239523], length 0, ParentProc [ptcpdump.345626]
